,Clean_text,Views_per_day
147,"['russia', 'invasion', 'plan', 'russiaukraine', 'conflict']",15556.0
148,"['missile', 'target', 'earth']",23333.0
149,"['video', 'afghan', 'displeasure', 'afghanistan', 'army', 'stone', 'shoe']",4667.0
150,"['how', 'india', 'general', 'rawat', 'death']",7778.0
151,"['vijay', 'mallya', 'booed', 'chor', 'chor', 'chant', 'oval', 'stadium']",778.0
152,"['russia', 'economy', 'crisis']",15556.0
153,"['saudi', 'arabia', 'rave', 'party', 'riyadh']",7778.0
154,"['genesis', 'kashmir', 'issue', 'india', 'jammu', 'kashmir']",4667.0
155,"['biden', 'hand', 'air']",23333.0
156,"['iit', 'institute']",722.0
157,"['west', 'information', 'war']",14444.0
158,"['russia', 'response', 'provocation', 'ukraine']",43333.0
159,"['vice', 'president', 'harris', 'fire', 'ukraine', 'refugee']",14444.0
160,"['love', 'fugitive', 'billionaires']",3611.0
161,"['ukraine', 'direct', 'shame', 'chinese', 'athlete', 'abuse']",10833.0
162,"['palestinians', 'alaqsa', 'eid', 'israelhamas', 'conflict', 'gaza', 'jerusalem']",3611.0
163,"['did', 'fauci', 'fund', 'wuhan', 'virus', 'research']",3611.0
164,"['reaction', 'invasion', 'ukraine']",14444.0
165,"['rare', 'earths', 'china', 'weapon']",3611.0
166,"['conflict', 'trump', 'nato', 'leader', 'ukraine', 'crisis']",14444.0
167,"['official', 'west', 'oligarch', 'yacht', 'jet', 'car', 'conflict']",14444.0
168,"['gaza', 'tunnel']",3611.0
169,"['country', 'cash']",3611.0
170,"['black', 'fungus', 'mucormycosis']",3611.0
171,"['wuhan', 'coronavirus', 'will', 'china', 'profit', 'outbreak']",1806.0
172,"['app', 'ban', 'beijing', 'reaction', 'india', 'ban', 'apps']",3611.0
173,"['russia', 'ukraine', 'putin', 'attack', 'sea', 'land', 'air']",14444.0
174,"['people', 'kabul', 'airport', 'attempt', 'evacuation', 'afghanistan']",4000.0
175,"['president', 'putin', 'geneva', 'summit', 'biden', 'highstakes', 'summit', 'geneva']",3333.0
176,"['trump', 'biden', 'taliban', 'takeover', 'afghanistan', 'resignation', 'taliban', 'kabul']",4000.0
177,"['dubai', 'collapse', 'leaf', 'dubai', 'money']",1667.0
178,"['shanghai', 'residents', 'healthcare', 'worker']",20000.0
179,"['covid', 'india', 'wave', 'october', 'claim']",3333.0
180,"['small', 'pacific', 'nations', 'china', 'deal']",57143.0
181,"['story', 'nxivm', 'allison', 'mack']",3636.0
182,"['wuhan', 'coronavirus', 'thai', 'king', 'selfisolation', 'woman', 'covid', 'lockdown', 'updates']",1667.0
183,"['russia', 'guarantee', 'vienna', 'stage']",13333.0
184,"['coronavirus', 'china', 'discussion']",1667.0
185,"['wuhan', 'coronavirus', 'japan', 'company', 'china']",1667.0
186,"['ukraine', 'plea', 'immediate', 'membership', 'russiaukraine', 'conflict']",13333.0
187,"['how', 'austria', 'islamist', 'infrastructure', 'border']",3333.0
188,"['plus', 'justin', 'trudeau', 'cry', 'statesman']",3333.0
189,"['pakistan', 'price', 'taliban']",4444.0
